party,n_member,n_also,member,also_ran,shipped
IND,53,175,0.943489290439179,0.709675162469349,0.954
GRN,21,271,1.03431395311245,1.01624904081729,0.994
OTH_RIGHT,14,197,0.958928581219355,0.478578257071146,0.954
ONP,1,43,,0.554644384682058,0.61
OTH,0,128,,0.469119146505647,
